Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Industry Groups,Number of Employees,Funding Status,Founders,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Full Description,Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Company Type,Hub Tags,Actively Hiring,Investor Type,Investment Stage,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Number of Portfolio Organizations,School Type,School Program,Number of Enrollments,School Method,Number of Alumni,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Number of Funding Rounds,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,CB Rank (Organization),Similar Companies,Contact Job Departments,Total Products Active,Stage
Credibook,https://www.crunchbase.com/organization/credibook,"B2B, Finance, Software","Jakarta, Jakarta Raya, Indonesia",Credibook is a startup helping retail wholesalers to keep track of receivables and payables.,"67,767","Financial Services, Other, Software",51-100,Early Stage Venture,"Christian Lie, Dekha Anggareska, Gabriel Frans",2020-01-01,month,,,,,https://credibook.com/,https://x.com/credibookid,https://www.facebook.com/CrediBook,https://www.linkedin.com/company/credibook,contact@credibook.com,+62 819-1999-0128,"Credibook is a startup helping retail wholesalers to keep track of receivables and payables. The startup digitizes the supply chain between wholesale and retail for more efficient inventory sourcing. It provides a variety of products and services that enable business owners to manage their businesses using digital technology, from order management to financial records. They intend to expand throughout Indonesia and reach out to more business sectors.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",10270,$1M to $10M,Active,For Profit,,,,,,,,,,,,,,,,2022-04-05,8100000.0,USD,8100000.0,Series A,8100000.0,USD,8100000.0,Series A,10100000.0,USD,10100000.0,10100000.0,USD,10100000.0,3.0,"Y Combinator, Alpha JWC Ventures, Insignia Ventures Partners, Monk’s Hill Ventures, Wavemaker Partners",2.0,5.0,,,Private,,,,,,,,,,,,,"73,267",6.0,"Marketing, Operations",12.0,
Nimbly Technologies,https://www.crunchbase.com/organization/nimbly-technologies,"Enterprise Software, Information Technology","Jakarta, Jakarta Raya, Indonesia",Nimbly Technologies is an information technology company located in DKI Jakarta.,"67,831","Information Technology, Software",11-50,Seed,"Daniel Hazman, Jonathan Keith",2018-01-01,day,,,,,https://hellonimbly.com/,,,https://www.linkedin.com/company/nimblytechnologies/,,,"Nimbly Technologies provides a SaaS platform that simplifies frontline tasks and gives management real-time visibility.  It enables companies to gain a full view of their team's activities in real-time, and be alerted of any issues as they arise. Nimbly Technologies unifies communications, streamlines scheduling, elevates task execution, and makes operations hum.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,$1M to $10M,Active,For Profit,,,,,,,,,,,,,,,,2021-03-30,4600000.0,USD,4600000.0,Seed,4600000.0,USD,4600000.0,Seed,4700000.0,USD,4700000.0,4700000.0,USD,4700000.0,2.0,"Saison Capital, Insignia Ventures Partners, Sovereign’s Capital, Zeal IT Consultants",2.0,4.0,,,Private,,,,,,,,,,,,,"73,334",4.0,"Engineering, Finance, Management, Operations, Pro Services, Sales",18.0,
Coldspace,https://www.crunchbase.com/organization/coldspace,"Marketplace, Supply Chain Management, Warehousing","Jakarta, Jakarta Raya, Indonesia",Coldspace is an integrated cold chain company that aims to deliver seamless logistics solutions.,"68,143","Commerce and Shopping, Transportation",51-100,Seed,,2022-01-01,year,,,,,https://www.coldspace.id,,,https://www.linkedin.com/company/coldspace-id,,,"Coldspace is an integrated cold chain company that aims to deliver seamless logistics solutions that encompass product storage and distribution throughout value chains, as well as best-in-class value added services in between.Coldspace strives to provide the best cold storage, frozen product handling, and refeer truck transportation services to our diverse local and international clientele.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,Active,For Profit,,,,,,,,,,,,,,,,2023-05-03,3800000.0,USD,3800000.0,Seed,3800000.0,USD,3800000.0,Seed,3800000.0,USD,3800000.0,3800000.0,USD,3800000.0,1.0,"Intudo Ventures, Triputra Group, ASSA, MKA & ITS",2.0,4.0,,,Private,,,,,,,,,,,,,"73,663",8.0,"Management, Sales",,
PT SMI,https://www.crunchbase.com/organization/pt-sarana-multi-infrastruktur,"Financial Services, Government, Infrastructure","Jakarta, Jakarta Raya, Indonesia",PT SMI is a government agency that offers a wide range of multi-finance services for various infrastructure sectors.,"68,356","Financial Services, Government and Military, Other",251-500,,,2009-01-01,year,,,,,https://www.ptsmi.co.id,https://twitter.com/ptsmiID,https://www.facebook.com/ptsmi/,https://www.linkedin.com/company/ptsmi/,corporatesecretary@ptsmi.co.id,+62 218-082-5288,,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",10220,$100M to $500M,Active,Non-profit,,,,,,,,,,,,,,,,2023-09-13,10650000000000.0,IDR,693303288.0,Debt Financing,,,,,,,,10650000000000.0,IDR,693303288.0,1.0,,,,,,Private,,,,,,,,,,,,,"73,884",7.0,"Finance, Human Resources",,
DayaTani,https://www.crunchbase.com/organization/dayatani,"Agriculture, Farming","Dki Jakarta, Jakarta Raya, Indonesia",DayaTani supplies farmers with comprehensive services to increase their productivity.,"68,435",Agriculture and Farming,11-50,Seed,,2023-01-01,year,,,,,https://dayatani.id,,,https://www.linkedin.com/company/dayatanidigitalindonesia,info@dayatani.id,+62 8118011925,DayaTani supplies farmers with comprehensive services to increase their productivity.,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,Active,For Profit,,,,,,,,,,,,,,,,2024-01-16,2300000.0,USD,2300000.0,Seed,2300000.0,USD,2300000.0,Seed,2300000.0,USD,2300000.0,2300000.0,USD,2300000.0,1.0,"MDI Ventures, Northstar Group, BRI Ventures, Ascent Venture Group, Gentree Fund",2.0,6.0,,,Private,,,,,,,,,,,,,"73,969",9.0,,,
SnowSeed,https://www.crunchbase.com/organization/snowseed,"Blockchain, Cryptocurrency, Non-Fungible Token (NFT)","Grogolpetamburan, Jakarta Raya, Indonesia","Snowseed connects real-world assets to NFT utilities, making NFTs more profitable and safer.","68,661","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",,Seed,Anang Prayudi,2023-01-01,year,,,,,https://www.snowseed.io,https://twitter.com/SnowSeedasia,,,snowseed_cs@gaudilabs.io,,"Snowseed connects real-world assets to NFT utilities, making NFTs more profitable and safer","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",11470,,Active,For Profit,,,,,,,,,,,,,,,,2024-03-08,5000000.0,USD,5000000.0,Seed,5000000.0,USD,5000000.0,Seed,5000000.0,USD,5000000.0,5000000.0,USD,5000000.0,1.0,"Medi Crypto International, PT Buckingham Holdings",2.0,2.0,,,Private,,,,,,,,,,,,,"74,205",,,,
GrapixAI,https://www.crunchbase.com/organization/grapixai,"Artificial Intelligence (AI), Cloud Data Services, Information Technology, Software","Jakarta, Jakarta Raya, Indonesia",GrapixAI is a provider of artificial intelligence server solution.,"68,750","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",251-500,Late Stage Venture,junbo wang,2016-01-01,year,,,,,https://www.grapixai.com,https://twitter.com/GrapixAi,https://www.facebook.com/GrapixAI,https://www.linkedin.com/company/grapixai,info@grapixai.com,+852 65288515,"GrapixAI provides artificial intelligence server solutions. The company emphasizes flexibility, scalability, and advanced technology for various AI applications in both on-premises and cloud settings. GrapixAI aims to contribute to the development of the Indonesian AI market and influence future AI technology.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,Active,For Profit,,,,,,,,,,,,,,,,2022-09-23,70000.0,USD,70000.0,Series C,70000.0,USD,70000.0,Series C,160000.0,USD,160000.0,160000.0,USD,160000.0,3.0,"Gaorong Capital, Vision Plus Capital",1.0,2.0,,,Private,,,,,,,,,,,,,"74,300",10.0,,,
Kimia Farma Apotek,https://www.crunchbase.com/organization/kimia-farma-apotek,"Health Care, Medical, Pharmaceutical, Retail","Jakarta Pusat, Jakarta Raya, Indonesia",Kimia Farma Apotek is a retail chain pharmaceutical company providing healthcare solutions.,"69,087","Commerce and Shopping, Health Care",1001-5000,,,2003-01-01,year,,,,,https://kimiafarmaapotek.co.id,https://twitter.com/KFMobile_id,,https://www.linkedin.com/company/pt--kimia-farma-apotek,sekretariat@kimiafarmaapotek.co.id,021-3857245,"Kimia Farma Apotek is a retail-chain pharmaceutical company providing pharmaceutical solutions and healthcare solutions ranging from prescription drugs, nonprescription drugs, traditional medicines, medical equipment, diet and nutrition, vitamins, minerals and supplements, baby and child necessities, personal care to beauty products.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,$10M to $50M,Active,For Profit,,,,,,,,,,,,,,,,2022-11-13,1860000000000.0,IDR,119234971.0,Venture - Series Unknown,1860000000000.0,IDR,119234971.0,Venture - Series Unknown,1860000000000.0,IDR,119234971.0,1860000000000.0,IDR,119234971.0,1.0,"Indonesia Investment authority, Silk Road Fund",2.0,2.0,,,Private,,,,,,,,,,,,,"74,660",19.0,"Finance, Management, Operations",,
VCGamers,https://www.crunchbase.com/organization/vcgamers,"E-Commerce, Information Technology, Social Media, Social Network, Video Games","Bekasi Kota, Jawa Barat, Indonesia",VCGamers is a social commerce platform for gamers that enables its users to trade and socialize through our ecosystem,"69,441","Commerce and Shopping, Gaming, Information Technology, Internet Services, Media and Entertainment",11-50,Seed,"Hartanto Lee, Ibnu Anggara, Sony Subrata, Wafa Taftazani",2021-06-06,day,,,,,https://vcgamers.com,https://twitter.com/VCGamers_id,https://www.facebook.com/vcgamers.id,https://www.linkedin.com/company/vcgamers,partner@vcgamers.com,+628159021021,"VCGamers is a social commerce platform for gamers to trade, connect, interact, share gaming experiences, and discover new games with millions of gamers from all over Indonesia. Our vision is to offer the best experience for Gamers to Trade, Socialize and Discover updates through our platform. Starting out as a service provider for game top-up and various other digital products, VCGamers has evolved into a full-fledged social marketplace with a secure and convenient transaction system. VCGamers also provides daily up-to-date information about gaming, esports, tech and gadget through VCNews.  Based in Bekasi, Indonesia, VCGamers also collaborates with ecosystem partners, such as brands, esports teams, game developers and publishers, event organizers, and more.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",17114,$10M to $50M,Active,For Profit,,,,,,,,,,,,,,,,2022-01-07,37300000000.0,IDR,2604976.0,Seed,37300000000.0,IDR,2604976.0,Seed,37300000000.0,IDR,2604976.0,37300000000.0,IDR,2604976.0,1.0,"BEENEXT, Rans Ventures, Jerry Soer, Ari Fadyl",2.0,4.0,,,Private,,,,,,,,,,,,,"75,029",25.0,"Engineering, Operations",,
Indopasifik Teknologi Medika Indonesia,https://www.crunchbase.com/organization/indopasifik-teknologi-medika-indonesia,"Dietary Supplements, Health Care, Medical, Wellness","Jakarta, Jakarta Raya, Indonesia",Indopasifik Teknologi Medika Indonesia is a health technology company located in Jakarta. Our products are Lifepack and Jovee.,"69,452","Food and Beverage, Health Care",51-100,Early Stage Venture,"Abi Dwiaji Wicahyo, Faren Faren, Hari Novferdianto, Natali Ardianto",2019-06-17,day,,,,,https://itmi.id/,,,https://www.linkedin.com/company/itmi-id/,natali@itmi.id,+6287708968289,"PT Indopasifik Teknologi Medika Indonesia (ITMI) is a closed-door digital pharmacy.  ITMI runs two brands: Lifepack, a digital pharmacy specializing in chronic diseases such as hypertension, diabetes, stroke, heart, and other chronic diseases.  Jovee is a supplement recommendation engine based on science. Doctors, nutritionists, and pharmacists are foreseeing the quality of the supplements.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,Active,For Profit,,,,,,,,,,,,,,,,2022-08-11,7000000.0,USD,7000000.0,Series A,7000000.0,USD,7000000.0,Series A,7000000.0,USD,7000000.0,7000000.0,USD,7000000.0,3.0,Golden Gate Ventures,1.0,1.0,,,Private,,,,,,,,,,,,,"75,042",3.0,,,
Proglix,https://www.crunchbase.com/organization/proglix,"B2B, Building Material, Construction, Manufacturing","Tangerang, Jawa Barat, Indonesia","Proglix provides comprehensive software solutions for businesses, optimizing operations and enhancing efficiency.","69,981","Manufacturing, Other, Real Estate",11-50,Seed,"Prawira Indrawan, Wendy Wijaya, Wynn Wijaya",2019-12-01,month,,,,,https://proglix.com,,https://www.facebook.com/profile.php?id=100086480051818&locale=hi_IN,https://www.linkedin.com/company/proglixindonesia,wynn@proglix.com,,"Proglix is a trusted provider of cutting-edge software solutions designed to meet the evolving needs of businesses across various industries. The company specializes in developing customized software applications, leveraging the latest technologies to optimize operations and enhance overall efficiency. Proglix's dedicated team of experts collaborates closely with clients to understand their unique requirements, ensuring that the solutions delivered are tailored to specific business goals. With a commitment to innovation and excellence, Proglix empowers organizations to streamline processes, improve productivity, and stay competitive in today's dynamic business landscape. Whether it's software development, IT consulting, or system integration, Proglix is the partner of choice for businesses seeking reliable and scalable solutions to drive success.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,$1M to $10M,Active,For Profit,,,,,,,,,,,,,,,,2023-04-13,,,,Angel,,,,Angel,1350000.0,USD,1350000.0,1350000.0,USD,1350000.0,4.0,"Y Combinator, 500 Global, Rebel Fund, MDI Ventures, MAGIC Fund",1.0,12.0,,,Private,,,,,,,,,,,,,"75,590",29.0,Operations,,
HIJAU,https://www.crunchbase.com/organization/hijau,"Environmental Consulting, Renewable Energy","Jakarta, Jakarta Raya, Indonesia","HIJAU's vision is to provide affordable, reliable, and clean solar energy.","70,134","Energy, Professional Services, Sustainability",11-50,,Victor Samuel,2020-01-01,year,,,,,https://www.hijau.co.id/en/,,,https://www.linkedin.com/company/hijau/,,,"HIJAU's Vision Is to Provide Affordable, Reliable, and CHIJAU is a renewable energy solution provider that focuses on the use of solar energy in large commercial sectors such as manufacturing, real estate, and other industries in Indonesia.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",12760,,Active,For Profit,,,,,,,,,,,,,,,,2024-10-22,10000000.0,USD,10000000.0,Venture - Series Unknown,10000000.0,USD,10000000.0,Venture - Series Unknown,10000000.0,USD,10000000.0,10000000.0,USD,10000000.0,1.0,Clime Capital,1.0,1.0,,,Private,,,,,,,,,,,,,"75,746",,,,
Indosurya Inti Finance,https://www.crunchbase.com/organization/indosurya-inti-finance,"Business Information Systems, Finance, Financial Services","Jakarta, Jakarta Raya, Indonesia",Indosurya Inti Finance is a multi-finance company based in indonesia.,"70,868","Financial Services, Information Technology",251-500,,"Henry Surya, Surya Effendy",2011-05-01,month,,,,,https://indosurya.finance/,,,,,(021) 3890 9068,"PT Indosurya Inti Finance is one of the financial institution entities under the auspices of Indosurya Group which is engaged in finance and property in Indonesia for more than 30 years.We are the first Multifinance Company in Indonesia that focuses on providing small and medium business (SME) financing facilities, as a form of our commitment to support economic growth, especially in the small and medium business sector which is evenly distributed to the people in Indonesia.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",10110,$1M to $10M,Active,For Profit,,,,,,,,,,,,,,,,2020-02-05,44700000.0,USD,44700000.0,Debt Financing,,,,,,,,44700000.0,USD,44700000.0,1.0,KFW DEG,1.0,1.0,,,Private,,,,,,,,,,,,,"76,514",7.0,,14.0,
Hacktiv8,https://www.crunchbase.com/organization/hacktiv8,Education,"Jakarta, Jakarta Raya, Indonesia",Hacktiv8 is the leading coding bootcamp in Indonesia that turns absolute beginners into job ready developers.,"71,536",Education,251-500,Seed,"Riza Fahmi, Ronald Ishak",2016-01-01,year,,,,,https://hacktiv8.com,https://www.twitter.com/hacktiv8id,https://www.facebook.com/hacktiv8id,https://www.linkedin.com/school/hacktiv8/,hello@hacktiv8.com,,Hacktiv8 is the leading coding bootcamp in Indonesia that turns absolute beginners into job ready developers. Hacktiv8 is also the first institution in Indonesia to offer Income Share Agreements (ISA) Education financing to allow students to learn for free in exchange for a share of future income.,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",12240,$1M to $10M,Active,For Profit,,,,,,,,,,,,,,,,2020-01-15,3000000.0,USD,3000000.0,Seed,3000000.0,USD,3000000.0,Seed,3000000.0,USD,3000000.0,3000000.0,USD,3000000.0,2.0,"East Ventures, Sovereign’s Capital, AC Ventures, Convergence Ventures, Skystar Capital",1.0,9.0,,,Private,,,,,,,,,,,,,"77,208",7.0,"Engineering, Finance, Information Technology, Management, Marketing, Operations, Pro Services, Product, Sales",21.0,
PT Multifinance Anak Bangsa,https://www.crunchbase.com/organization/pt-multifinance-anak-bangsa,"Financial Services, FinTech","Jakarta, Jakarta Raya, Indonesia",PT Multifinance Anak Bangsa provides technological solutions in financial services and lending.,"71,694",Financial Services,,,,1993-01-13,day,,,,,https://mab.co.id/,,,https://www.linkedin.com/company/pt.-multi-artha-bersama,support@mab.co.id,,,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",12160,$1M to $10M,Active,For Profit,,,,,,,,,,,,,,,,2024-04-04,32450000000.0,IDR,2039320.0,Corporate Round,32450000000.0,IDR,2039320.0,Corporate Round,32450000000.0,IDR,2039320.0,32450000000.0,IDR,2039320.0,1.0,GoTo Group,1.0,1.0,,,Private,,,,,,,,,,,,,"77,375",,,,
Flip,https://www.crunchbase.com/organization/flip-4607,"Finance, Financial Services, FinTech, Payments","Depok, Jawa Barat, Indonesia",Flip operates as a platform that allows users to send money securely without a transaction fee. With AUS dollar impacts forforth.,"71,929","Financial Services, Payments",251-500,Early Stage Venture,"Ginanjar Ibnu Solikhin, Luqman Sungkar, Rafi Putra Arriyan",2019-01-01,year,,,,,https://flip.id/,https://twitter.com/flip_id,https://www.facebook.com/HaiFlip/,https://www.linkedin.com/company/flip.id,Edwardsarnold05@gmail.com,62 21 30002424,"Flip operates as a platform that allows users to send money securely without a transaction fee. The company was founded by Rafi Putra Arriyan, Ginanjar Ibnu Solikhin, and Luqman Sungkar in 2015 and is headquartered in Depok, Jawa Barat, Indonesia.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,$1M to $10M,Active,For Profit,,,,,,,,,,,,,,,,2022-06-14,55000000.0,USD,55000000.0,Series B,55000000.0,USD,55000000.0,Series B,120000000.0,USD,120000000.0,120000000.0,USD,120000000.0,4.0,"Insight Partners, Peak XV Partners, Tencent, Insignia Ventures Partners, Block",4.0,9.0,,,Private,,,,,,,,,,,,,"77,617",3.0,"Engineering, Finance, Human Resources, Information Technology, Management, Marketing, Medical & Science, Operations, Sales",15.0,
Citra Borneo Utama,https://www.crunchbase.com/organization/citra-borneo-utama,"Business Development, Food Processing","Tengah, Kalimantan Barat, Indonesia",Citra Borneo Utama is a a business that oversees the trade and processing of palm oil downstream.,"72,226","Food and Beverage, Professional Services",,IPO,,2013-01-01,year,2022-11-08,day,,,https://www.citraborneoutama.co.id,,,,sales@citraborneoutama.co.id,(62) 532 21297,"Citra Borneo Utama is a a business that oversees the trade and processing of palm oil downstream. The company is focusing on enhancing its downstream palm oil business, enhancing stakeholder value, implementing corporate governance best practices, utilizing advanced technology, and fostering partnership.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",74181,$500M to $1B,Active,For Profit,,,,,,,,,,,,,,,,2024-02-26,1000000000000.0,IDR,63909996.0,Post-IPO Debt,,,,,,,,1000000000000.0,IDR,63909996.0,1.0,Bank Rakyat Indonesia,1.0,1.0,,,Public,2022-11-08,,,,,,,,,CBUT,https://www.crunchbase.com/ipo/citra-borneo-utama-ipo--2e7a73dc,IDX - Indonesia Stock Exchange,"77,930",9.0,,,
Dachin,https://www.crunchbase.com/organization/dachin,Database,"Bekasi, Jawa Barat, Indonesia",Dachin is a D2C brand creator that focuses on data collection and analytics systems.,"72,392","Data and Analytics, Software",51-100,Seed,,2019-01-01,year,,,,,https://www.dachineg.com,,,https://www.linkedin.com/company/dachin,info@dachin.co.id,+62 21 397 39983,Dachin is a D2C brand creator that focuses on data collection and analytics systems.,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,Active,,,,,,,,,,,,,,,,,2024-06-25,82000000000.0,IDR,4997373.0,Seed,82000000000.0,IDR,4997373.0,Seed,82000000000.0,IDR,4997373.0,82000000000.0,IDR,4997373.0,1.0,Northstar Group,1.0,1.0,,,Private,,,,,,,,,,,,,"78,106",,,,
VKTR,https://www.crunchbase.com/organization/vktr,"Electric Vehicle, GreenTech, Manufacturing","Jakarta, Jakarta Raya, Indonesia",VKTR is a manufacturer and developer of battery-powered electric vehicles.,"72,591","Manufacturing, Sustainability, Transportation",1001-5000,IPO,,2018-01-01,year,2023-06-19,day,,,https://vktr.id,https://twitter.com/vktr_id,https://www.facebook.com/VKTR.id,https://www.linkedin.com/company/vktrindonesia,corsec@vktr.id,(62) 21 - 29912222,,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,Active,For Profit,,,,,,,,,,,,,,,,2023-08-14,250000000000.0,IDR,16282483.0,Post-IPO Debt,,,,,,,,250000000000.0,IDR,16282483.0,1.0,Bank Central Asia,1.0,1.0,,,Public,2023-06-19,,,875000000000.0,IDR,58278577.0,4375000000000.0,IDR,291392887.0,VKTR,https://www.crunchbase.com/ipo/vktr-ipo--8650132e,IDX - Indonesia Stock Exchange,"78,313",1.0,"Management, Sales",,
Ritase,https://www.crunchbase.com/organization/ritase,"B2B, Freight Service, Logistics, Mobile Apps, SaaS, Shipping, Supply Chain Management, Transportation","Jakarta, Jakarta Raya, Indonesia",SaaS & marketplace for trucking logistics digital platform,"72,595","Apps, Mobile, Other, Software, Transportation",51-100,Early Stage Venture,"David Samuel, Iman Kusnadi",2017-11-27,day,,,,,https://ritase.com,https://twitter.com/ritase_id,https://www.facebook.com/ID.ritase/,https://www.linkedin.com/company/ritase/,investment@ritase.com,+6221-50820876,Ritase is a technology platform that connect your ERP system to various logistics companies that allow you to track the shipment real-time.,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",12950,$1B to $10B,Active,For Profit,,,,,,,,,,,,,,,,2019-05-06,8500000.0,USD,8500000.0,Series A,8500000.0,USD,8500000.0,Series A,13125000.0,USD,13125000.0,13125000.0,USD,13125000.0,3.0,"Golden Gate Ventures, JAFCO Asia, Pegasus Tech Ventures, Insignia Ventures Partners, Mitsubishi Corporation",2.0,8.0,,,Private,,,,,,,,,,,,,"78,318",31.0,Operations,,
Gringgo,https://www.crunchbase.com/organization/gringgo,"Mobile Apps, Recycling, Web Apps","Kuta, Bali, Indonesia",Gringgo is a recycling company focusing on developing and improving waste management systems through digitalization and database creation.,"72,995","Apps, Mobile, Software, Sustainability",11-50,Seed,"Febriadi Pratama, Olivier Pouillon",2014-01-01,year,,,,,http://www.gringgo.co/,,,https://www.linkedin.com/company/gringgo-trash-tech,,,"Gringgo is a recycling company focusing on developing and improving waste management systems through digitalization and database creation. The company, a web and mobile technology innovator, used GIS and mapping as a strength to generate better data. Inspired by this, Gringgo is attempting to fill the void by utilizing technological innovation to create solutions for issues related to sustainable development. The company is delivering environmental acts, providing reliable information, creating opportunities, and providing technical assistance to reduce societal inequality gaps.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",80361,$1M to $10M,Active,For Profit,,,,,,,,,,,,,,,,2019-05-31,25000000.0,USD,25000000.0,Grant,,,,Seed,,,,25000000.0,USD,25000000.0,2.0,"Google, Gan Kapital, GK-Plug and Play Indonesia",1.0,3.0,,,Private,,,,,,,,,,,,,"78,731",8.0,Finance,6.0,
Djoin,https://www.crunchbase.com/organization/djoin,"Financial Services, FinTech, Information Technology, SaaS","Denpasar, Bali, Indonesia",A Technology Enabler start-up for microfinance institutions in Indonesia formerly called Solusisakti.,"73,219","Financial Services, Information Technology, Software",51-100,Seed,"I Putu Takumi Wijaya, Indra Adhi Suputra",2020-09-23,day,,,,,https://djoin.id/,,https://www.facebook.com/profile.php?id=100079220744313,https://www.linkedin.com/in/djoin-id-36274b242,takumi.wijaya@djoin.id,,"The next evolution of fintech platform with the goal to bring prosperity for grassroots communities through financial inclusion. Our newly rebranded banking SAAS platform ""Djoin"", takes a holistic approach to bring values for second tier financial institutions and goes beyond an ordinary system provider.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,Active,For Profit,,,,,,,,,,,,,,,,2024-08-06,,,,Seed,,,,Seed,1100000.0,USD,1100000.0,1100000.0,USD,1100000.0,3.0,500 Global,,1.0,,,Private,,,,,,,,,,,,,"78,964",6.0,,,
OKHOME,https://www.crunchbase.com/organization/okhome,"Heating, Ventilation, and Air Conditioning (HVAC), Home Services, Local, Service Industry","Jakarta, Jakarta Raya, Indonesia","OKHOME offers home cleaning, air conditioning, and disinfection services for apartments.","73,271","Other, Real Estate, Sales and Marketing",51-100,Early Stage Venture,Jinsuk Choi,2016-01-01,year,,,,,https://www.okhome.id/,https://www.twitter.com/okhome_id,https://www.facebook.com/okhomeindonesia/,https://www.linkedin.com/company/okhome,cs@okhome.id,021-50928859,"OKHOME is a technology-based lifestyle platform. They provide home cleaning, AC service, fogging service, hydro cleaning, and car washing services. They also offer visitor surveys, subscription packages, and area cleaning services.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,$100M to $500M,Active,For Profit,,,,,,,,,,,,,,,,2023-03-02,,,,Non-equity Assistance,33000000000.0,KRW,27881041.0,Series A,33300000000.0,KRW,28161399.0,33300000000.0,KRW,28161399.0,3.0,"Kakao Ventures, Hana Ventures, Endeavor Indonesia, Enlight Ventures, Springcamp",,8.0,,,Private,,,,,,,,,,,,,"79,023",9.0,"Finance, Human Resources, Operations, Product, Sales",,
GREDU,https://www.crunchbase.com/organization/gredu,"E-Learning, EdTech, Education","Jakarta, Jakarta Raya, Indonesia",GREDU is an education institution located in Pasar Minggu.,"73,281","Education, Software",51-100,M&A,Mohammad Rizky Anies,2017-01-01,day,2024-08-13,day,,,https://gredu.asia/,,,https://www.linkedin.com/company/gredu/,,,"GREDU is a social ed-tech platform that aims to increase the level of engagement in a school environment to improve the overall schooling experience, for teachers, parents, and students.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",12510,$10M to $50M,Active,For Profit,,,,,,,,,,,,,,,,2021-07-07,58000000000.0,IDR,3996500.0,Series A,58000000000.0,IDR,3996500.0,Series A,58000000000.0,IDR,3996500.0,58000000000.0,IDR,3996500.0,2.0,"Vertex Ventures, Intudo Ventures, Javas Venture LLC",2.0,3.0,,Was Acquired,Private,,,,,,,,,,,,,"79,034",10.0,"Engineering, Operations",4.0,
