Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,LinkedIn,Facebook,Twitter,Company Type,Actively Hiring,Industry Groups,Number of Employees,Top 5 Investors,Number of Funding Rounds,Funding Status
Lunash,https://www.crunchbase.com/organization/lunash,,"Artificial Intelligence (AI), Debt Collections, FinTech, SaaS","Jakarta, Jakarta Raya, Indonesia","SaaS, AI, Debt Collection, Debt Management Platform","71,101",https://lunash.id,https://www.linkedin.com/company/lunash,,,For Profit,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",1-10,"Antler, Tenity",2,Seed
Good Games Guild,https://www.crunchbase.com/organization/good-games-guild,,"Blockchain, Gaming","Jakarta, Jakarta Raya, Indonesia",Good Games Guild is a gaming hub for play-to-earn games based on NFTs and collectible tokens.,"71,144",https://goodgamesguild.com,https://www.linkedin.com/company/good-games-guild/,https://www.facebook.com/GuildGoodGames/,https://twitter.com/goodgamesguild,For Profit,,"Blockchain and Cryptocurrency, Gaming, Other",1-10,"NGC Ventures, MV Global, LD Capital, OKX Ventures, Kyros Ventures",2,Seed
Mandaya Medical International,https://www.crunchbase.com/organization/mandaya-medical-international,,"Health Care, Hospital, Hospitality, Medical","Jakarta, Jakarta Raya, Indonesia",Mandaya Medical International is a healthcare company that operates hospitals.,"71,167",,,,,For Profit,,"Health Care, Travel and Tourism",1-10,"Bangkok Bank, Kendall Court",2,Early Stage Venture
Fabelio,https://www.crunchbase.com/organization/fabelio,,"E-Commerce, Furniture, Home Decor, Manufacturing","Jakarta, Jakarta Raya, Indonesia",Fabelio is an Indonesian online furniture retailer that works with local designers to manufacture unique furniture and home decor.,"71,577",http://www.fabelio.com/,https://www.linkedin.com/organization-guest/company/fabelio?challengeId=AQEwnWhoAb_LgQAAAXLHrdqCKW-DjsaXsU5mjTf27fc6YVnOlHQJVmT_8Jkm_CHRf23Q-chNwTSbLpe2giD9vBI9sOLaAbBnwA&submissionId=5c4d8c7f-5ca7-1916-1d7a-490facd9b47d,https://www.facebook.com/fabelio,https://www.twitter.com/hellofabelio,For Profit,,"Commerce and Shopping, Consumer Goods, Manufacturing, Real Estate",101-250,"500 Global, Endeavor Catalyst, Bossa Invest, AppWorks, MDI Ventures",6,Late Stage Venture
Indosurya Inti Finance,https://www.crunchbase.com/organization/indosurya-inti-finance,,"Business Information Systems, Finance, Financial Services","Jakarta, Jakarta Raya, Indonesia",Indosurya Inti Finance is a multi-finance company based in indonesia.,"71,851",https://indosurya.finance/,,,,For Profit,,"Financial Services, Information Technology",251-500,KFW DEG,1,
Binar Academy,https://www.crunchbase.com/organization/binar-academy,,"Education, Information Technology, Software Engineering","Dki Jakarta, Jakarta Raya, Indonesia",Binar Academy offers mentorship and non-formal education to aspiring tech engineers across Indonesia.,"71,931",https://www.binaracademy.com/,https://www.linkedin.com/company/13272323/,https://www.facebook.com/binaracademy/,,For Profit,,"Education, Information Technology, Science and Engineering, Software",51-100,"iGlobe Partners, Teja Ventures, EduSpaze, Blue7, Ango Ventures",3,
SIRCLO,https://www.crunchbase.com/organization/sirclo,,"E-Commerce, Information Technology, Web Design, Web Development","Tangerang, Jawa Barat, Indonesia",SIRCLO provides a website-building platform designed to create an e-commerce service that can facilitate online sales.,"72,111",http://www.sirclo.com,https://www.linkedin.com/company/sirclo,https://www.facebook.com/sirclosolution,https://www.twitter.com/sirclosolution,For Profit,,"Commerce and Shopping, Design, Information Technology, Software",1001-5000,"East Ventures, Vertex Ventures Southeast Asia & India, Traveloka, Skystar Capital, SMDV",8,Late Stage Venture
Batumbu,https://www.crunchbase.com/organization/batumbu,,"Financial Services, FinTech, Internet, Online Portals, Peer to Peer","Jakarta, Jakarta Raya, Indonesia",Batumbu presents information technology-based money lending services.,"72,295",https://batumbu.id/,https://www.linkedin.com/company/batumbu,,,For Profit,,"Financial Services, Internet Services, Other",51-100,Validus,1,
KedaiSayur,https://www.crunchbase.com/organization/kedai-sayur,,"AgTech, Farmers Market, Food and Beverage, Logistics, Supply Chain Management","Kedoya Selatan, Jakarta Raya, Indonesia","KedaiSayur is an agtech company that connects farmers, ranchers, and wholesalers with consumers to provide fresh farm products.","72,653",http://www.kedaisayur.com,https://www.linkedin.com/company/kedaisayur,https://www.facebook.com/kedaisayurcom,,For Profit,,"Agriculture and Farming, Food and Beverage, Transportation",101-250,"East Ventures, SMDV, Triputra Group, Kejora-SBI Orbit, Multi Persada",4,Early Stage Venture
CoHive,https://www.crunchbase.com/organization/ev-hive,,"Communities, Coworking, Office Administration","Jakarta, Jakarta Raya, Indonesia",CoHive is Indonesia’s largest co-working space company.,"73,169",https://cohive.space/,https://www.linkedin.com/company/cohive/,https://www.facebook.com/cohivespace/,https://twitter.com/cohivespace,For Profit,,"Administrative Services, Community and Lifestyle, Real Estate",51-100,"East Ventures, Z Venture Capital, Insignia Ventures Partners, Intudo Ventures, Naver",4,Early Stage Venture
WEAVE,https://www.crunchbase.com/organization/weave-3092,,"Railroad, Telecommunications, Wireless","Jakarta, Jakarta Raya, Indonesia","WEAVE manages railway fiber optic infrastructure, offering scalable bandwidth solutions.","73,262",https://www.weave.co.id,https://www.linkedin.com/company/pt-integrasi-jaringan-ekosistem-weave,,,For Profit,,"Hardware, Mobile, Transportation",51-100,Bank Negara Indonesia,1,
Garudafood,https://www.crunchbase.com/organization/garudafood,,"Food and Beverage, Hospitality, Snack Food","Gresik, Jawa Timur, Indonesia",GarudaFood is a food and beverage company subordinated to Tudung Group.,"73,552",https://garudafood.com,https://www.linkedin.com/company/pt-garudafood-putra-putri-jaya-tbk/about/,https://www.facebook.com/128133043916752,https://www.twitter.com/garudafood_,For Profit,,"Food and Beverage, Travel and Tourism",101-250,CVC Capital Partners,1,Private Equity
Elevenia,https://www.crunchbase.com/organization/elevenia,,"E-Commerce, Fashion, Marketplace","Jakarta, Jakarta Raya, Indonesia",Elevenia is a marketplace-based platform for buyers and sellers.,"73,989",http://www.elevenia.co.id/,https://www.linkedin.com/company/pt-xl-planet,https://www.facebook.com/elevenia.co.id,https://twitter.com/eleveniaID,For Profit,,"Clothing and Apparel, Commerce and Shopping, Design",101-250,"SK Planet, XL Axiata Tbk",2,Private Equity
Neurosensum,https://www.crunchbase.com/organization/neurosensum,,"Artificial Intelligence (AI), Consumer, Consumer Research, Machine Learning, Neuroscience","Kuningan, Jakarta Raya, Indonesia",Neurosensum is a neuroscience and AI-based company that uses neuroscience tools in understanding consumer’s subconscious response.,"74,217",http://neurosensum.com/,https://www.linkedin.com/company/pt-neurosensum-technology-international/,https://www.facebook.com/Neurosensum/,https://twitter.com/Neurosensum/,For Profit,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Design, Other, Science and Engineering, Software",101-250,"Alpha JWC Ventures, Supermorpheus, SIG China (SIG Asia Investments)",4,Early Stage Venture
Slice Group,https://www.crunchbase.com/organization/slice-6e7a,,Software,"Jakarta, Jakarta Raya, Indonesia",Slice simplifies payments for the creator economy.,"74,278",https://slice.id,https://www.linkedin.com/company/slicegroup,,https://twitter.com/join_slice,For Profit,,Software,11-50,"Intudo Ventures, W inc., ARISE",1,Seed
PT Multifinance Anak Bangsa,https://www.crunchbase.com/organization/pt-multifinance-anak-bangsa,,"Financial Services, FinTech","Jakarta, Jakarta Raya, Indonesia",PT Multifinance Anak Bangsa provides technological solutions in financial services and lending.,"74,398",https://mab.co.id/,https://www.linkedin.com/company/pt.-multi-artha-bersama,,,For Profit,,Financial Services,,GoTo Group,1,
BukaPO,https://www.crunchbase.com/organization/bukapo,,"Food and Beverage, Marketplace, Snack Food","Badung, Bali, Indonesia","BukaPO is a food and beverage company that provides pulses, rice bowls, and various other snack food services.","74,467",https://www.bukapo.net/,https://www.linkedin.com/company/bukapo,,,For Profit,,"Commerce and Shopping, Food and Beverage",11-50,"Iterative, elea Foundation for Ethics in Globalization, Bali Investment Club",4,Seed
Flik,https://www.crunchbase.com/organization/flik-2fba,,"Brand Marketing, Direct Marketing","Jakarta, Jakarta Raya, Indonesia",Flik provides brands to improve direct-to-consumer transactions by integrating the checkout experience across various sales channels.,"74,816",https://flik.co.id,https://www.linkedin.com/company/flik-id,,,For Profit,,Sales and Marketing,11-50,"Saison Capital, East Ventures, GMO VenturePartners, Init 6",1,Seed
Pawprints Inspired,https://www.crunchbase.com/organization/pawprints-inspired,,"Nutrition, Pet","Jakarta, Jakarta Raya, Indonesia",Pawprints Inspired provides insect-based protein that gives pets their ideal nutrition.,"75,503",https://pawprints.id/,https://www.linkedin.com/company/pawprints-indonesia/,,,,,"Community and Lifestyle, Food and Beverage, Health Care",11-50,"Pavilion Capital, Creative Gorilla Capital, MSW Ventures, Altrui Investment Management, Tujuh Bersaudara Investindo",2,Seed
Terratai,https://www.crunchbase.com/organization/terratai,,"Business Development, Finance, Natural Resources","Denpasar, Bali, Indonesia",Terratai is a venture builder for nature that focuses on tackling the challenges of the food system that drive ecosystem.,"75,724",https://terratai.com,https://www.linkedin.com/company/terratai,,,,,"Financial Services, Natural Resources, Professional Services, Sustainability",1-10,"UBS, Swiss Re Foundation",1,Seed
Bank Bisnis Internasional,https://www.crunchbase.com/organization/bank-bisnis,,"Banking, Commercial, Financial Services","Bandung, Jawa Barat, Indonesia",Bank Bisnis Internasional is a non-foreign exchange private commercial bank.,"75,777",http://bankbisnis.id,,,,For Profit,,"Financial Services, Lending and Investments, Other",101-250,"Cathay Innovation, MDI Ventures, Kredivo Group, Square Peg Capital, Singtel Innov8",1,M&A
Gree Energy,https://www.crunchbase.com/organization/gree-energy,,"Biomass Energy, Industrial Engineering, Renewable Energy","Jakarta, Jakarta Raya, Indonesia","Gree Energy develops, operates, and builds biogas-to-energy solutions that transform industry waste into valuable resources.","75,842",http://www.gree-energy.com,https://www.linkedin.com/company/gree-energy/,,,For Profit,,"Energy, Manufacturing, Natural Resources, Science and Engineering, Sustainability",11-50,"Water Unite Impact (WUI), Earthcare Group",1,Seed
KoinWorks,https://www.crunchbase.com/organization/koinworks,,"Consumer Lending, Financial Services, FinTech, Information Technology, Lending, Peer to Peer","Jakarta, Jakarta Raya, Indonesia",Koinworks is an Indonesia Super Financial App that provides both investment and liabilities products under single platform,"76,035",https://koinworks.com/,https://www.linkedin.com/company/koinworks/,https://www.facebook.com/koinworks/,https://twitter.com/KoinWorks,For Profit,,"Financial Services, Information Technology, Lending and Investments, Other",251-500,"Quona Capital, East Ventures, Saison Capital, MDI Ventures, AC Ventures",8,Late Stage Venture
Sritex,https://www.crunchbase.com/organization/sritex,,"Manufacturing, Textiles","Jetis, Jawa Tengah, Indonesia","SRITEX is a textile and garment producer with production units that include spinning, weaving, dyeing, and garment.","76,098",https://www.sritex.co.id/,https://www.linkedin.com/company/sritex,https://www.facebook.com/sritex.indonesia/,https://twitter.com/sritexindonesia,For Profit,,Manufacturing,10001+,Adam Malik,1,IPO
Sorabel,https://www.crunchbase.com/organization/sale-stock-indonesia,,"Classifieds, Fashion, Retail","Jakarta, Jakarta Raya, Indonesia","Here Soraya sells beautiful, mall-quality clothes with honest prices. Free postage unconditionally.","76,398",http://www.salestockindonesia.com/,https://www.linkedin.com/company/sorabel-by-sale-stock/,https://www.facebook.com/sorabelofficial/,https://twitter.com/salestockid,For Profit,,"Clothing and Apparel, Commerce and Shopping, Design",1001-5000,"Alpha JWC Ventures, InnoVen Capital, Gobi Partners, Openspace, Kejora Capital",5,M&A
PT Geo Dipa Energi,https://www.crunchbase.com/organization/pt-geo-dipa-energi,,"Energy, Geothermal Energy, Oil and Gas, Renewable Energy","Dki Jakarta, Jakarta Raya, Indonesia","PT Geo Dipa Energi is a geothermal Energy Company through Geodipa Personnel, Operational Excellence and Sustainable Growth.","76,859",https://www.geodipa.co.id/,https://www.linkedin.com/company/pt-geo-dipa-energi-persero-/,,,For Profit,,"Energy, Natural Resources, Sustainability",251-500,,1,
Magalarva,https://www.crunchbase.com/organization/magalarva,,"Alternative Protein, Animal Feed, Biometrics, Biopharma, Biotechnology, Farming, Health Care","Jakarta, Jakarta Raya, Indonesia",Magalarva is a biotechnology company that produces sustainable proteins for animal feed.,"77,431",https://magalarva.com/,https://www.linkedin.com/company/magalarva/,https://www.facebook.com/Magalarva-2182622968483192/,,For Profit,,"Agriculture and Farming, Biotechnology, Data and Analytics, Food and Beverage, Health Care, Science and Engineering",11-50,"DBS Foundation, Bali Investment Club, SKALA",5,
OKHOME,https://www.crunchbase.com/organization/okhome,,"Heating, Ventilation, and Air Conditioning (HVAC), Home Services, Local, Service Industry","Jakarta, Jakarta Raya, Indonesia","OKHOME offers home cleaning, air conditioning, and disinfection services for apartments.","78,176",https://www.okhome.id/,https://www.linkedin.com/company/okhome,https://www.facebook.com/okhomeindonesia/,https://www.twitter.com/okhome_id,For Profit,,"Other, Real Estate, Sales and Marketing",51-100,"Kakao Ventures, Hana Ventures, Endeavor Indonesia, Enlight Ventures, Springcamp",3,Early Stage Venture
PT Mitra Pinasthika Mustika Rent,https://www.crunchbase.com/organization/pt-mitra-pinasthika-mustika-rent,,"Automotive, Car Sharing, Transportation","Serpong, Jawa Barat, Indonesia",PT Mitra Pinasthika Mustika Rent offers automotive rental and driver services.,"78,279",https://mpm-rent.com,https://www.linkedin.com/company/pt-mitra-pinasthika-mustika-rent-mpm-rent-,https://www.facebook.com/MPM-Rent-148287218633589,,For Profit,,Transportation,1001-5000,Carro,1,
Danacita,https://www.crunchbase.com/organization/danacita,,"Education, Financial Services","Jakarta, Jakarta Raya, Indonesia",Danacita is a loans to fund their tertiary education and training in Jakarta.,"78,346",https://www.danacita.co.id,https://www.linkedin.com/company/dana-cita,https://www.facebook.com/DanaCita.ID,https://twitter.com/dana_cita,For Profit,,"Education, Financial Services",51-100,"Monk’s Hill Ventures, Qualgro VC, Convergence Ventures, GE32 Capital",1,Early Stage Venture
Bananas,https://www.crunchbase.com/organization/bananas-6948,,"Delivery, E-Commerce, Grocery","Jakarta, Jakarta Raya, Indonesia",Bananas delivers fresh groceries direct to home in 10 minutes and at supermarket prices.,"78,697",https://www.bananas.id/,https://www.linkedin.com/company/bananasid/,,https://twitter.com/BananasIndo,For Profit,,"Administrative Services, Commerce and Shopping, Food and Beverage",51-100,"Y Combinator, East Ventures, MDI Ventures, Venturra, ARISE",1,Seed
Mangkokku,https://www.crunchbase.com/organization/mangkokku,,"Cooking, Food and Beverage, Hotel, Restaurants","Jakarta, Jakarta Raya, Indonesia",Mangkokku is a culinary startup that offers professional chef-level dishes in the form of rice bowls.,"78,762",https://www.mangkokku.com/,https://www.linkedin.com/company/mangkokku-indonesia/about/,https://www.facebook.com/pg/mangkokkuindonesia,https://twitter.com/Mangkokku_id,For Profit,,"Food and Beverage, Travel and Tourism",501-1000,"Alpha JWC Ventures, Emtek Group, Endeavor Indonesia, Cakra Ventures, PT karunia pangan indonesia",4,
BukuWarung,https://www.crunchbase.com/organization/bukuwarung,,"Accounting, Credit, FinTech, Payments, Small and Medium Businesses, Software","Jakarta, Jakarta Raya, Indonesia","BukuWarung is a startup focused on building bookkeeping, digital payments, and e-commerce solutions for MSMEs in Indonesia.","79,076",https://bukuwarung.com,https://www.linkedin.com/company/bukuwarung,https://www.facebook.com/bukuwarung,https://twitter.com/bukuwarung_,For Profit,,"Financial Services, Lending and Investments, Other, Payments, Professional Services, Software",101-250,"Y Combinator, Goodwater Capital, Quona Capital, Golden Gate Ventures, The Twenty Minute VC",6,Early Stage Venture
Elitery,https://www.crunchbase.com/organization/elitery,,"Cloud Computing, Cloud Infrastructure, Information Technology, IT Infrastructure, IT Management, Management Information Systems","Jakarta, Jakarta Raya, Indonesia","Elitery is an IT managed services company. Our team is well versed in all aspects of IT infrastructure, especially cloud technology.","79,265",https://elitery.com,https://www.linkedin.com/company/elitery,https://www.facebook.com/Elitery/,https://twitter.com/eliterycloud,For Profit,,"Hardware, Information Technology, Internet Services, Software",51-100,,,IPO
Fineksi,https://www.crunchbase.com/organization/finskor,,"Artificial Intelligence (AI), SaaS","Jakarta, Jakarta Raya, Indonesia","At Fineksi, we specialize in AI-driven SaaS solutions that enhance credit analysis and decision-making processes, along with fraud detection","79,448",https://www.fineksi.com/,https://www.linkedin.com/company/finskor,https://www.facebook.com/fineksi.official,,For Profit,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",1-10,"Tenity, Startup Studio Indonesia",2,Seed
Bank Index,https://www.crunchbase.com/organization/bank-index,,"Banking, Commercial, Financial Services, Small and Medium Businesses","Jakarta, Jakarta Raya, Indonesia",Bank Index provides lending services to small and medium enterprise.,"79,800",http://www.bankindex.co.id/,https://www.linkedin.com/company/pt-bank-index-selindo/,,https://twitter.com/bank_index,For Profit,,"Financial Services, Lending and Investments, Other",501-1000,"Funding Societies, Creador, Carro, Modalku, SBI Ven Capital",3,
Klikdaily,https://www.crunchbase.com/organization/klikdaily,,"Apps, Information Technology, Mobile Apps, Software","Serpong, Jawa Barat, Indonesia",Klikdaily is a supply chain tech ecosystem with its mission to empower mom n pop store businesses by digitizing FMCG supply chain process,"79,910",http://www.klikdaily.com/,https://www.linkedin.com/company/klikdaily/,https://www.facebook.com/klikdaily/,https://twitter.com/klikdaily,For Profit,,"Apps, Information Technology, Mobile, Software",51-100,"Global Founders Capital, Pegasus Tech Ventures, FundedHere, Teja Ventures, GnB Accelerator",3,Early Stage Venture
Super,https://www.crunchbase.com/organization/super-1f7d,,"Apps, Consumer, E-Commerce","Surabaya, Jawa Timur, Indonesia",Super is a social commerce platform that enables leaders to become self-made entrepreneurs and builds logistics network.,"80,015",https://superapp.id,https://www.linkedin.com/company/superapp-id,https://www.facebook.com/aplikasisuper,,For Profit,,"Apps, Commerce and Shopping, Other, Software",101-250,"Y Combinator, B Capital, Alpha JWC Ventures, New Enterprise Associates, Insignia Ventures Partners",4,Late Stage Venture
Grouu Baby Food,https://www.crunchbase.com/organization/grouu-baby-food,,"Food and Beverage, Food Delivery, Food Processing","Dki Jakarta, Jakarta Raya, Indonesia","Grouu is a fast grouu-ing baby food company based in Jakarta, Indonesia","80,288",https://www.grouu.id/,https://www.linkedin.com/company/grouu-baby-food/,https://www.facebook.com/grouu.id,,For Profit,,"Food and Beverage, Transportation",11-50,"Endeavor Indonesia, Teja Ventures, Javas Venture LLC, Arkana Ventures, Selera Kapital",4,Seed
Fuse,https://www.crunchbase.com/organization/fuse-pro,,"Apps, Finance, Insurance, InsurTech","Jakarta, Jakarta Raya, Indonesia",Fuse is an insurance platform that connects insurance products from insurance companies.,"80,795",https://www.fuse.co.id,https://www.linkedin.com/company/fuse-group-indo,https://www.facebook.com/fuseindo,https://twitter.com/fuseindo,For Profit,,"Apps, Financial Services, Software",251-500,"Golden Gate Ventures, EV Growth, GGV Capital, Emtek Group, Saratoga Partners",4,Early Stage Venture
Kalbe Genexine Biologics,https://www.crunchbase.com/organization/kalbe-genexine-biologics,,"Biotechnology, Life Science","Jakarta, Jakarta Raya, Indonesia",Kalbe Genexine Biologics is developing innovative biologic therapy for high unmet medical needs in largely underserved areas.,"81,012",https://www.kg-biologics.com,https://www.linkedin.com/company/kg-bio,,,For Profit,,"Biotechnology, Science and Engineering",51-100,General Atlantic,1,Private Equity
Rakamin Academy,https://www.crunchbase.com/organization/rakamin-academy,,"Education, STEM Education","Jakarta, Jakarta Raya, Indonesia","Platform for people to learn tech skills directly with experts, and get real working experience from our Virtual Internship Platform","81,131",https://rakamin.com/,https://www.linkedin.com/company/rakaminacademy/,,,For Profit,,"Education, Science and Engineering",51-100,"Open Campus, Investible, Newchip Accelerator, Startup Studio Indonesia, EduSpaze",4,Seed
TokoTalk,https://www.crunchbase.com/organization/tokotalk,,"E-Commerce, Information Technology, Management Information Systems","Kuningan, Jakarta Raya, Indonesia",TokoTalk is an Ease of doing business online according to their needs,"81,288",https://www.tokotalk.com/,https://www.linkedin.com/company/tokotalk-id/,https://www.facebook.com/tokotalk.id/,,For Profit,,"Commerce and Shopping, Information Technology",51-100,Altos Ventures,2,Early Stage Venture
Hyfen,https://www.crunchbase.com/organization/metabase-5468,,"Blockchain, Cryptocurrency, Gaming","Jakarta, Jakarta Raya, Indonesia","Hyfen is Indonesia's first all-in-one crypto gaming ecosystem, providing gamers with a seamless entry into the world of crypto gaming.","81,399",https://hyfen.gg,https://www.linkedin.com/company/hyfen-gg,https://www.facebook.com/hyfen.gg/,https://twitter.com/hyfen_gg,For Profit,,"Blockchain and Cryptocurrency, Financial Services, Gaming, Other, Payments, Software",11-50,"Xiaomi, HTX, Infinity Ventures Crypto, AC Capital",3,Seed
Paras,https://www.crunchbase.com/organization/paras-ba90,,"Blockchain, Cryptocurrency, Marketplace, Non-Fungible Token (NFT)","Jakarta, Jakarta Raya, Indonesia",Paras is a digital marketplace for crypto collectibles and non-fungible tokens (NFTs).,"81,451",https://paras.id,https://www.linkedin.com/company/paras-digital,https://www.facebook.com/parashq.digital,https://twitter.com/ParasHQ,For Profit,,"Blockchain and Cryptocurrency, Commerce and Shopping, Financial Services, Other, Payments, Software",11-50,"Dragonfly, Black Dragon Capital, Digital Renaissance, GFS Ventures, ConsenSys Mesh",2,Seed
Aino Indonesia,https://www.crunchbase.com/organization/aino-indonesia,,Information Technology,"Tebet, Jakarta Raya, Indonesia",Aino Indonesia is a payment processing company and system integrator for public transportation.,"81,473",https://ainosi.co.id/id/,https://www.linkedin.com/company/pt-aino-indonesia/,,,For Profit,,Information Technology,101-250,"EverHaüs, TIS Japan, Nippon Koei, Asia Summit Capital",3,Early Stage Venture
AssetFindr,https://www.crunchbase.com/organization/assetfindr,,"Analytics, Asset Management, Business Intelligence, Information Technology, SaaS, Software","Jakarta, Jakarta Raya, Indonesia","AssetFindr is a AI-optimized Asset Maintenance Management for efficiency, minimal downtime with real-time insights and seamless integration.","81,967",https://assetfindr.com/,https://www.linkedin.com/company/assetfindr/about/,,,For Profit,,"Data and Analytics, Financial Services, Information Technology, Software",1-10,Antler,1,Seed
RaRa Delivery,https://www.crunchbase.com/organization/rara-delivery,,"Customer Service, E-Commerce, Logistics","Jakarta, Jakarta Raya, Indonesia",RaRa Delivery is a e-commerc company that offers logistics services.,"82,128",https://www.rara.delivery/,https://www.linkedin.com/company/rara-delivery/,https://www.facebook.com/RaRaDeliveryID/,,For Profit,,"Commerce and Shopping, Other, Professional Services, Transportation",101-250,"500 Global, East Ventures, Surge, GK-Plug and Play Indonesia, AngelCentral",2,Seed
Halosis,https://www.crunchbase.com/organization/halosis,,"Artificial Intelligence (AI), Software","Cengkareng, Jakarta Raya, Indonesia",Halosis is building AI (Artificial Intelligence) technology.,"82,418",https://www.halosis.co.id/,https://www.linkedin.com/company/halosis,,,For Profit,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",11-50,Google for Startups,2,Seed
Indopasifik Teknologi Medika Indonesia,https://www.crunchbase.com/organization/indopasifik-teknologi-medika-indonesia,,"Dietary Supplements, Health Care, Medical, Wellness","Jakarta, Jakarta Raya, Indonesia",Indopasifik Teknologi Medika Indonesia is a health technology company located in Jakarta. Our products are Lifepack and Jovee.,"82,599",https://itmi.id/,https://www.linkedin.com/company/itmi-id/,,,For Profit,,"Food and Beverage, Health Care",51-100,Golden Gate Ventures,3,Early Stage Venture
SerMorpheus,https://www.crunchbase.com/organization/sermorpheus,,"Digital Entertainment, Event Promotion, Metaverse, Ticketing","Jakarta, Jakarta Raya, Indonesia",Sermorpheus is a company that focuses on NFT we bridge IRL to the Metaverse.,"82,940",https://sermorpheus.com/,https://www.linkedin.com/company/sermorpheus,,https://twitter.com/sermorpheus,For Profit,,"Events, Media and Entertainment, Software",11-50,"500 Global, Intudo Ventures, BRI Ventures, FEBE Ventures, Caladan",1,Seed
Crewdible,https://www.crunchbase.com/organization/crewdible,,"Information Services, Information Technology, Logistics","Tangerang, Jawa Barat, Indonesia",Crewdible is a micro-warehousing start up.,"82,981",https://crewdible.com/seller.html,https://www.linkedin.com/company/crewdible/,https://www.facebook.com/crewdible,,For Profit,,"Information Technology, Transportation",101-250,"Bukalapak, Global Founders Capital, Ondine Capital, Sequoia Scout",3,Early Stage Venture
Modalku,https://www.crunchbase.com/organization/modalku,,"Apps, B2B, Consumer Lending, E-Commerce, Financial Services, FinTech, Lending, Marketplace, Small and Medium Businesses","Kebon, Jawa Timur, Indonesia","Modalku is online marketplace based in Jakarta, Indonesia for small businesses to acquire loans & for lenders to fund small business loans.","83,305",https://modalku.co.id,https://www.linkedin.com/company/modalku,https://www.facebook.com/modalkuid,https://twitter.com/modalkuid,For Profit,,"Apps, Commerce and Shopping, Financial Services, Lending and Investments, Other, Software",251-500,"Peak XV Partners, SoftBank Vision Fund, Alpha JWC Ventures, SoftBank, AVV",7,Late Stage Venture
Goers,https://www.crunchbase.com/organization/goers,,"Media and Entertainment, Ticketing, Tourism","Jakarta, Jakarta Raya, Indonesia",Goers is an application that allows young smartphone users to discover local things to do around them and book it directly from the app.,"83,569",http://goersapp.com,https://www.linkedin.com/company-beta/6457806/,https://www.facebook.com/goersapp/,https://www.twitter.com/goersapp,For Profit,,"Events, Media and Entertainment, Travel and Tourism",11-50,"MDI Ventures, Prasetia Dwidharma, Mahanusa Capital, Indigo by Telkom Indonesia, Mahaka Group Media",3,Seed
Foom,https://www.crunchbase.com/organization/foom-85e5,,"Consumer Goods, Lifestyle","Jakarta, Jakarta Raya, Indonesia",Foom is an online seller of consumer products.,"83,663",https://foom.id,https://www.linkedin.com/company/foomlabglobal,https://www.facebook.com/foomlabglobal/,,For Profit,,"Community and Lifestyle, Consumer Goods",51-100,Gayo Capital,1,Seed
Cashlez,https://www.crunchbase.com/organization/cashlez,,"Banking, Financial Services, FinTech, Payments","Jakarta, Jakarta Raya, Indonesia","Cashlez operates as a financial technology company that provides value propositions for traders, and mobile payment players.","84,175",https://www.cashlez.com/,https://www.linkedin.com/company-beta/10886554/,https://www.facebook.com/cashlez.id,https://twitter.com/cashlez_id,For Profit,,"Financial Services, Lending and Investments, Payments",11-50,"Mandiri Capital Indonesia (MCI), Sumitomo, Gan Kapital",2,IPO
Rainmaker,https://www.crunchbase.com/organization/rainmaker-b4d5,,"Artificial Intelligence (AI), Chatbot, Lead Management, Sales","Kedoya Selatan, Jakarta Raya, Indonesia","Rainmaker is a software company that provides AI-based sales activity building and tracking, lead profiling, and chatbot solutions.","84,995",https://www.rainmaker.co.id/en,,,,For Profit,,"Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software",1-10,Antler,1,Seed
Prixa,https://www.crunchbase.com/organization/prixa-ai,,Health Care,"Jakarta, Jakarta Raya, Indonesia",Prixa is a platform that manages corporate health benefits.,"85,113",https://www.prixa.ai,https://www.linkedin.com/company/14675653/,,https://twitter.com/prixaai,For Profit,,Health Care,51-100,"MDI Ventures, Venturra, Trans-Pacific Technology Fund (TPTF), PT Siloam International Hospitals",2,Seed
ArkoPay,https://www.crunchbase.com/organization/arko-faee,,"Building Material, Construction, Finance, Financial Services, Lending","Dki Jakarta, Jakarta Raya, Indonesia",ArkoPay provides payment and financing solutions for businesses within construction supply chain ecosystem.,"85,145",https://arkopay.com,https://www.linkedin.com/company/arkopay-indonesia/,,,For Profit,,"Financial Services, Real Estate",1-10,"Antler, Tenity, Startup Studio Indonesia",3,Seed
Finansialku,https://www.crunchbase.com/organization/finansialku,,"Consulting, Finance, Financial Services, InsurTech, Online Portals, Personal Finance","Bandung, Jawa Barat, Indonesia","Finansialku is a financial planning company that offers educational portal, financial applications, and financial consulting services.","85,745",https://www.finansialku.com,https://www.linkedin.com/company/finansialku-com/,https://www.facebook.com/finansialku,https://www.twitter.com/finansialku,For Profit,,"Financial Services, Internet Services, Professional Services",11-50,"Hesham Zreik, FasterCapital, Bashar Hamood",2,Seed
